section,figure,source,metric,n,mean,std,ci95,params,subgroup,train_size,sharing_type,depth,L,p,circuit_family,source_family,epsilon,class
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.6776666666666666,0.0390974565811014,0.0342704316997742,126.0,Z2_reflection,,symmetry,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.5906666666666667,0.0203647298588078,0.0178504727606239,108.0,Z2_rot180,,random,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.6773333333333333,0.0188045502767577,0.016482915060416,108.0,Z2_rot180,,symmetry,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,test_accuracy,5,0.6136666666666667,0.0330067333198007,0.0289316773719664,204.0,none,,symmetry,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.0475555555555554,0.0166462838324984,0.014591111111111,60.0,C4,,random,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.0078888888888889,0.026998513905147,0.0236652408542857,60.0,C4,,symmetry,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.0597777777777777,0.0165859154885279,0.0145381959245547,78.0,D2_V4,,random,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.0383333333333332,0.0144177103026233,0.0126376802840933,78.0,D2_V4,,symmetry,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.0232222222222221,0.0302111907971651,0.0264812763110414,54.0,D4,,random,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.0232222222222222,0.0163742872806915,0.0143526956215527,54.0,D4,,symmetry,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.0606666666666666,0.0215251790546172,0.0188676513288396,126.0,Z2_reflection,,random,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.044111111111111,0.0137470535563618,0.0120498237270032,126.0,Z2_reflection,,symmetry,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.0622222222222221,0.0265884268892396,0.0233057837361362,108.0,Z2_rot180,,random,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.0355555555555555,0.0121779501204349,0.0106744439239906,108.0,Z2_rot180,,symmetry,,,,,,,
paper,fig04,results_random_sharing_control_full_L3p2_train450.csv,generalization_gap,5,0.0938888888888888,0.0181811868577261,0.0159365129323965,204.0,none,,symmetry,,,,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5388888888888889,0.0233531661744262,0.0264265952833807,10.0,C4,,,1.0,1.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5572222222222222,0.0481990471705421,0.0545423564028481,20.0,C4,,,2.0,2.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5905555555555555,0.0628121832956821,0.0710786766309344,30.0,C4,,,3.0,3.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.63,0.0088191710368819,0.0099798315134594,40.0,C4,,,4.0,2.0,2.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.65,0.0152752523165193,0.0172855752322886,60.0,C4,,,6.0,2.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6716666666666667,0.0510718448201486,0.0577932329756502,80.0,C4,,,8.0,4.0,2.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.7138888888888889,0.0400115724000684,0.0452773565079243,90.0,C4,,,9.0,3.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6916666666666668,0.028915585954829,0.0327210658162008,120.0,C4,,,12.0,4.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5166666666666667,0.0104083299973306,0.0117781341665157,13.0,D2_V4,,,1.0,1.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.56,0.0169148192751536,0.0191409199051355,26.0,D2_V4,,,2.0,2.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5922222222222223,0.0315054375083507,0.0356517587397111,39.0,D2_V4,,,3.0,3.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6216666666666666,0.0057735026918962,0.0065333333333333,52.0,D2_V4,,,4.0,4.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6483333333333333,0.0104083299973305,0.0117781341665156,78.0,D2_V4,,,6.0,2.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6427777777777778,0.0463181429935438,0.0524139129583447,104.0,D2_V4,,,8.0,4.0,2.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6222222222222222,0.0387417852702469,0.0438404571031409,117.0,D2_V4,,,9.0,3.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6783333333333333,0.005,0.0056580326380583,156.0,D2_V4,,,12.0,4.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.523888888888889,0.0358365631619337,0.0405528888012119,9.0,D4,,,1.0,1.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5655555555555556,0.0293604672482751,0.0332244963918767,18.0,D4,,,2.0,2.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5861111111111111,0.0554359824315231,0.0627317195840773,27.0,D4,,,3.0,3.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6233333333333334,0.0300462606288665,0.0340005446579468,36.0,D4,,,4.0,2.0,2.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.668888888888889,0.0198839224090814,0.0225007763926405,54.0,D4,,,6.0,3.0,2.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6583333333333333,0.0711219609778395,0.0804820752990654,72.0,D4,,,8.0,4.0,2.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.64,0.0448454134902457,0.0507473626390063,81.0,D4,,,9.0,3.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6905555555555556,0.0456536883423372,0.0516620117377374,108.0,D4,,,12.0,4.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5222222222222223,0.0320300784564434,0.0362454458612252,21.0,Z2_reflection,,,1.0,1.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5488888888888889,0.0350528701207718,0.0396660566401894,42.0,Z2_reflection,,,2.0,2.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5666666666666667,0.0435889894354067,0.0493255849771022,63.0,Z2_reflection,,,3.0,3.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6077777777777778,0.0335548197123144,0.0379708530192876,84.0,Z2_reflection,,,4.0,4.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.635,0.0220479275922049,0.0249495787836484,126.0,Z2_reflection,,,6.0,2.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6455555555555555,0.0193170429452374,0.0218592918909856,168.0,Z2_reflection,,,8.0,4.0,2.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6222222222222222,0.0302459057529248,0.034226464383537,189.0,Z2_reflection,,,9.0,3.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.645,0.0251661147842358,0.0284781397644657,252.0,Z2_reflection,,,12.0,4.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5311111111111111,0.037280220155128,0.0421865404783429,18.0,Z2_rot180,,,1.0,1.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5555555555555555,0.0259450987307457,0.0293596430832411,36.0,Z2_rot180,,,2.0,2.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.581111111111111,0.0539890249478059,0.0610943330503263,54.0,Z2_rot180,,,3.0,3.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6244444444444445,0.0082214714371937,0.0093034707449013,72.0,Z2_rot180,,,4.0,4.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6522222222222221,0.0439802144066995,0.0497682977083818,108.0,Z2_rot180,,,6.0,3.0,2.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.66,0.0109290642071699,0.0123674003975205,144.0,Z2_rot180,,,8.0,4.0,2.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6549999999999999,0.0284800124843917,0.0322281680337994,162.0,Z2_rot180,,,9.0,3.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6533333333333333,0.025,0.0282901631902916,216.0,Z2_rot180,,,12.0,4.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5094444444444445,0.0291706346507224,0.0330096805853325,34.0,none,,,1.0,1.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5227777777777778,0.0201613859018045,0.0228147558921798,68.0,none,,,2.0,2.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5583333333333333,0.0259807621135331,0.0294,102.0,none,,,3.0,3.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5783333333333333,0.0292973263854115,0.0331530457793012,136.0,none,,,4.0,4.0,1.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5916666666666667,0.0136422546197874,0.0154376643790918,204.0,none,,,6.0,2.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6222222222222222,0.0151229528764624,0.0171132321917685,272.0,none,,,8.0,4.0,2.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.605,0.0072648315725677,0.008220930829517,306.0,none,,,9.0,3.0,3.0,,,,
paper,fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6172222222222222,0.0201613859018045,0.0228147558921798,408.0,none,,,12.0,4.0,3.0,,,,
paper,fig06,results_d4_compression_sweep_L3p2.csv,test_accuracy,15,0.6161111111111112,0.0807594573229039,0.0408699243460198,54.0,D4,,,,,,,,,
paper,fig06,results_d4_compression_sweep_L3p2.csv,test_accuracy,15,0.5328888888888889,0.037893264189028,0.0191766375353056,18.0,D4_all_tied,,,,,,,,,
paper,fig06,results_d4_compression_sweep_L3p2.csv,test_accuracy,15,0.605,0.0596717209883734,0.0301980573326607,42.0,D4_pair_tied,,,,,,,,,
paper,fig06,results_d4_compression_sweep_L3p2.csv,test_accuracy,15,0.6025555555555556,0.0665948025364421,0.0337016199925679,30.0,D4_qubit_tied,,,,,,,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.689,0.0190977020141749,0.01673987388775,60.0,C4,450.0,,,,,edge,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.6776666666666668,0.0233214255329491,0.0204421307869583,60.0,C4,600.0,,,,,edge,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.6983333333333334,0.03765707842565,0.0330078845799673,60.0,C4,750.0,,,,,edge,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.6883333333333334,0.0410791918128874,0.0360074992189127,54.0,D4,450.0,,,,,edge,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.6993333333333334,0.030221405217715,0.026490229645412,54.0,D4,600.0,,,,,edge,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.6913333333333334,0.0330697915190148,0.0289869503205992,54.0,D4,750.0,,,,,edge,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.736,0.0232916293977042,0.0204160133228796,78.0,C4,450.0,,,,,edge_line_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.735,0.0212785755580061,0.0186514938335304,78.0,C4,600.0,,,,,edge_line_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7369999999999999,0.0373124941838819,0.0327058431748484,78.0,C4,750.0,,,,,edge_line_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7386666666666667,0.06008558710521,0.0526673392362118,72.0,D4,450.0,,,,,edge_line_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.75,0.0171188654868117,0.0150053471950649,72.0,D4,600.0,,,,,edge_line_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7466666666666667,0.0175989267349523,0.0154261394320736,72.0,D4,750.0,,,,,edge_line_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7723333333333333,0.0410724292493692,0.036001571570635,78.0,C4,450.0,,,,,edge_line_zzz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.761,0.0396267305966285,0.0347343608293318,78.0,C4,600.0,,,,,edge_line_zzz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.742,0.016766368453279,0.0146963699221572,78.0,C4,750.0,,,,,edge_line_zzz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7196666666666667,0.026177810790396,0.0229458628563456,72.0,D4,450.0,,,,,edge_line_zzz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7643333333333333,0.0264207410107202,0.0231588005830277,72.0,D4,600.0,,,,,edge_line_zzz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7333333333333333,0.0179891942874357,0.0157682240245656,72.0,D4,750.0,,,,,edge_line_zzz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.746,0.031304951684997,0.02744,96.0,C4,450.0,,,,,edge_line_zzz_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.778,0.0143081173542231,0.0125416178293622,96.0,C4,600.0,,,,,edge_line_zzz_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.787,0.0229249984853992,0.0200946471589934,96.0,C4,750.0,,,,,edge_line_zzz_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7953333333333333,0.0181582549332865,0.0159164122143709,90.0,D4,450.0,,,,,edge_line_zzz_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.805,0.0213111864209073,0.0186800785151811,90.0,D4,600.0,,,,,edge_line_zzz_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7736666666666666,0.0626653368653232,0.0549285896010042,90.0,D4,750.0,,,,,edge_line_zzz_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7033333333333334,0.0376939429263288,0.0330401977395212,54.0,C4,450.0,,,,,line_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7196666666666667,0.0420713679359252,0.0368771799355644,54.0,C4,600.0,,,,,line_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7016666666666667,0.0465026880943456,0.0407614033124474,54.0,C4,750.0,,,,,line_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7033333333333334,0.0376939429263288,0.0330401977395212,54.0,D4,450.0,,,,,line_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7196666666666667,0.0420713679359252,0.0368771799355644,54.0,D4,600.0,,,,,line_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.7016666666666667,0.0465026880943456,0.0407614033124474,54.0,D4,750.0,,,,,line_ccrz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.678,0.0145964226972075,0.0127943286046765,54.0,C4,450.0,,,,,line_pair_crz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.6683333333333333,0.0200693242979871,0.0175915383699726,54.0,C4,600.0,,,,,line_pair_crz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.6806666666666666,0.0510935960327276,0.0447855115460842,54.0,C4,750.0,,,,,line_pair_crz,,,
paper,fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.678,0.0145964226972075,0.0127943286046765,54.0,D4,450.0,,,,,line_pair_crz,,,
