subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
D4,3,2,3,3,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.13214678113721792,2.8619005502545565,1.0,0.5016666666666667,0.4983333333333333,54,8,symmetry,542.618597334018,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,4,3,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.2505548288837958,3.3265705432557784,1.0,0.305,0.6950000000000001,54,8,symmetry,542.4906338750152,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,0,6,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.29969311278942035,2.8827524603595966,1.0,0.435,0.565,54,8,symmetry,545.2070300419582,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,1,6,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.851905532670163,2.7214564513190553,1.0,0.44166666666666665,0.5583333333333333,54,8,symmetry,544.0829647079809,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,2,6,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.6500109369981737,2.7376320426406906,1.0,0.485,0.515,54,8,symmetry,596.8705126669956,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,3,6,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.46472920922817984,2.6355566202317022,1.0,0.4633333333333333,0.5366666666666666,54,8,symmetry,605.9527022920083,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,4,6,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.33682981942366724,2.9236107605318926,1.0,0.4033333333333333,0.5966666666666667,54,8,symmetry,606.2635201250669,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,0,9,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.4593848916654432,2.6572093773557026,1.0,0.51,0.49,54,8,symmetry,672.9710180830443,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,1,9,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.5948766722732672,2.9740497776473775,0.8888888888888888,0.4266666666666667,0.46222222222222215,54,8,symmetry,743.6405125419842,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,2,9,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.780730809073806,2.738246461541893,1.0,0.45166666666666666,0.5483333333333333,54,8,symmetry,635.4101325420197,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,3,9,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.45009619423920394,2.503060976311934,1.0,0.5683333333333334,0.43166666666666664,54,8,symmetry,552.6335646670777,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,4,9,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.6994331910751173,3.1664296117897766,1.0,0.4266666666666667,0.5733333333333333,54,8,symmetry,547.7236067499034,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,0,12,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.8377612992667757,2.691045737966815,0.9166666666666666,0.5,0.41666666666666663,54,8,symmetry,724.0347595829517,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,1,12,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.7048278865263362,2.6243934599117065,0.9166666666666666,0.5033333333333333,0.41333333333333333,54,8,symmetry,818.9341574590653,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,2,12,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.0008822277797593,2.588020686631697,0.9166666666666666,0.5083333333333333,0.4083333333333333,54,8,symmetry,567.8757468339754,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,3,12,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.8949765629036093,2.4202656006669607,0.9166666666666666,0.545,0.3716666666666666,54,8,symmetry,533.908176667057,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,4,12,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.1721385507793374,2.775489957611196,0.9166666666666666,0.42833333333333334,0.4883333333333333,54,8,symmetry,533.0219539999962,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,0,15,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.965540386295645,2.267766356210344,0.8666666666666667,0.545,0.32166666666666666,54,8,symmetry,535.9497035830282,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,1,15,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.9499492299309433,2.848218853769357,1.0,0.445,0.5549999999999999,54,8,symmetry,542.9208960410906,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,2,15,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.004347257542712,2.5665185165503592,1.0,0.525,0.475,54,8,symmetry,542.7519613340264,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,3,15,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.0306743005466459,2.502544472645649,0.9333333333333333,0.5183333333333333,0.41500000000000004,54,8,symmetry,541.8454415419837,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,4,15,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.2701333999073265,2.589542151127726,0.9333333333333333,0.46166666666666667,0.4716666666666667,54,8,symmetry,542.8422195829917,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,0,18,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.065332682260612,2.3635354122802985,0.8888888888888888,0.53,0.3588888888888888,54,8,symmetry,542.313110542018,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,1,18,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.055687745736524,2.9316273031657043,0.9444444444444444,0.4066666666666667,0.5377777777777777,54,8,symmetry,542.3308938329574,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,2,18,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.1313532426452373,2.3584750601770113,1.0,0.5583333333333333,0.44166666666666665,54,8,symmetry,542.4762168339221,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,3,18,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.470333334449538,2.413696790581386,0.7222222222222222,0.5183333333333333,0.2038888888888889,54,8,symmetry,542.559676083969,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,4,18,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.362711719734107,2.5569687949685647,0.8888888888888888,0.47833333333333333,0.4105555555555555,54,8,symmetry,541.744247708004,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,0,24,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.3599399472515907,2.234868143969719,0.9166666666666666,0.555,0.3616666666666666,54,8,symmetry,543.3634587919805,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,1,24,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.1056703666006316,2.473614163063746,0.9166666666666666,0.505,0.4116666666666666,54,8,symmetry,541.9408912910149,True,True,0,disjoint,0.0,0.0,0,none,()
