subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices,circuit_family
Z2_rot180,3,2,1,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.667831297226425,2.244991544576202,0.775,0.555,0.2199999999999999,108,2,symmetry,551.0869998330018,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,2,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.704317072397494,2.254046928306868,0.8333333333333334,0.59,0.2433333333333334,108,2,symmetry,550.4912911660504,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,3,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.655361913361205,2.2109293762657436,0.775,0.5583333333333333,0.2166666666666666,108,2,symmetry,550.0491963750683,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,4,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.624035584300643,2.3568253264448225,0.8333333333333334,0.5583333333333333,0.275,108,2,symmetry,550.702504875022,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,0,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9385950320137573,2.173174233332465,0.7,0.6033333333333334,0.0966666666666665,108,2,symmetry,552.5938778748969,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,1,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.8170043226970551,2.1388357099278377,0.7333333333333333,0.5933333333333334,0.1399999999999999,108,2,symmetry,551.7494346670574,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,2,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.855251698846592,2.2918844959189344,0.7125,0.5583333333333333,0.1541666666666666,108,2,symmetry,552.1373877919978,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,3,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.8493524220533344,2.115115814817786,0.7416666666666667,0.6066666666666667,0.135,108,2,symmetry,551.4333420420298,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,4,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9128036511642672,2.148364791497191,0.7208333333333333,0.6033333333333334,0.1174999999999999,108,2,symmetry,551.0668560829945,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9615558529803536,2.0704469088186843,0.7333333333333333,0.7016666666666667,0.0316666666666666,108,2,symmetry,553.5720439170254,True,False,97,independent_fallback,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.924300793136413,2.0048164724453827,0.7222222222222222,0.69,0.0322222222222222,108,2,symmetry,553.7185598330107,True,False,92,independent_fallback,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.047085449903859,2.0831539423962964,0.7177777777777777,0.6716666666666666,0.0461111111111111,108,2,symmetry,553.9546796669019,True,False,96,independent_fallback,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.03042409635957,2.094200556922076,0.6888888888888889,0.67,0.0188888888888888,108,2,symmetry,553.2808662090683,True,False,103,independent_fallback,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.974192815361823,2.106627748813192,0.7022222222222222,0.6533333333333333,0.0488888888888888,108,2,symmetry,553.0452802499058,True,False,91,independent_fallback,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,0,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.9987731884956348,2.486479655636126,0.9666666666666668,0.5066666666666667,0.4599999999999999,126,2,symmetry,567.4064349160763,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,1,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.0754448170860018,2.7575342316067455,0.9666666666666668,0.42,0.5466666666666666,126,2,symmetry,579.8872275419999,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,2,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.0289153693735351,2.5900891996704187,0.9666666666666668,0.5116666666666667,0.4549999999999999,126,2,symmetry,571.1263843330089,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,3,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.0223163963902424,2.578835240285939,0.9666666666666668,0.4916666666666666,0.475,126,2,symmetry,563.8907593750628,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,4,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.9263037297341656,2.666353255216144,1.0,0.475,0.525,126,2,symmetry,566.1238173330203,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,0,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5649994322348808,2.3277389421862114,0.8166666666666667,0.545,0.2716666666666666,126,2,symmetry,664.5465395000065,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,1,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.250315486603509,2.497182407963517,0.8833333333333333,0.495,0.3883333333333333,126,2,symmetry,566.173756040982,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,2,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.3358298002793167,2.6034883276936984,0.8833333333333333,0.5083333333333333,0.375,126,2,symmetry,579.8602374999318,True,True,0,disjoint,0.0,0.0,0,none,(),edge
