figure,source,metric,n,mean,std,ci95,params,subgroup,train_size,sharing_type,depth,L,p,circuit_family,source_family
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6244444444444445,0.008221471437193794,0.00930347074490131,72.0,Z2_rot180,,,4.0,4.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6522222222222221,0.04398021440669951,0.049768297708381815,108.0,Z2_rot180,,,6.0,3.0,2.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.66,0.010929064207169983,0.012367400397520566,144.0,Z2_rot180,,,8.0,4.0,2.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6549999999999999,0.028480012484391703,0.03222816803379947,162.0,Z2_rot180,,,9.0,3.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6533333333333333,0.025000000000000022,0.02829016319029169,216.0,Z2_rot180,,,12.0,4.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5094444444444445,0.029170634650722414,0.03300968058533253,34.0,none,,,1.0,1.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5227777777777778,0.02016138590180451,0.022814755892179808,68.0,none,,,2.0,2.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5583333333333333,0.025980762113533167,0.02940000000000003,102.0,none,,,3.0,3.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5783333333333333,0.029297326385411587,0.03315304577930128,136.0,none,,,4.0,4.0,1.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.5916666666666667,0.013642254619787433,0.01543766437909188,204.0,none,,,6.0,2.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6222222222222222,0.01512295287646244,0.01711323219176854,272.0,none,,,8.0,4.0,2.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.605,0.007264831572567734,0.008220930829517014,306.0,none,,,9.0,3.0,3.0,,
fig05,results_depth_sweep_all_groups_draft_L1234_p123.csv,best_test_accuracy_at_depth,3,0.6172222222222222,0.02016138590180451,0.022814755892179808,408.0,none,,,12.0,4.0,3.0,,
fig06,results_d4_compression_sweep_L3p2.csv,test_accuracy,15,0.6161111111111112,0.08075945732290395,0.04086992434601981,54.0,D4,,,,,,,
fig06,results_d4_compression_sweep_L3p2.csv,test_accuracy,15,0.5328888888888889,0.037893264189028,0.019176637535305657,18.0,D4_all_tied,,,,,,,
fig06,results_d4_compression_sweep_L3p2.csv,test_accuracy,15,0.605,0.05967172098837343,0.03019805733266076,42.0,D4_pair_tied,,,,,,,
fig06,results_d4_compression_sweep_L3p2.csv,test_accuracy,15,0.6025555555555556,0.06659480253644215,0.03370161999256796,30.0,D4_qubit_tied,,,,,,,
fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.689,0.019097702014174912,0.016739873887750077,60.0,C4,450.0,,,,,edge,
fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.6776666666666668,0.023321425532949108,0.020442130786958387,60.0,C4,600.0,,,,,edge,
fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.6983333333333334,0.03765707842565004,0.033007884579967325,60.0,C4,750.0,,,,,edge,
fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.6883333333333334,0.041079191812887446,0.03600749921891271,54.0,D4,450.0,,,,,edge,
fig07,results_oracle_inspired_robust_C4D4_L3p2_train450_600_750.csv,test_accuracy,5,0.6993333333333334,0.030221405217715023,0.026490229645412044,54.0,D4,600.0,,,,,edge,
